"Park_Code","Title","Duration","Short_Description","Image_URL","Record_Type"
"badl","Visit the Ben Reifel Visitor Center","15-60 Minutes","There's something for everyone at the Ben Reifel Visitor Center in the North Unit of Badlands National Park. Swing by the information desk, watch the park film, check out a working fossil preparation lab, enjoy museum exhibits, or stop by the park bookstore.","https://www.nps.gov/common/uploads/cropped_image/3262D126-BD33-74C9-1452D66720B89B52.jpg","Thing To Do"
"band","1. Guided Tour to the Pueblo Loop Trail and Alcove House","1","The Pueblo Loop Trail is 1.4 miles roundtrip and takes visitors to some of the best Ancestral Pueblo sites in the park. Alcove House is an extra mile roundtrip out and back that can be added to the Pueblo Loop Trail and allows visitors to climb 140 feet of ladders and stairs into a site in a natural alcove above Frijoles Canyon.","https://www.nps.gov/common/uploads/tours/38DB6A44-C2AC-823C-19A23DF2F1785743.jpg","Tour"
"band","2. Tsankawi Guided Tour","1","Tsankawi is located approximately 12 miles from the main section of Bandelier National Monument. The trail is 1.5 miles roundtrip and takes several hours. Ladders are part of this trail and can not be avoided if you want to do the entire loop trail. The trail is very exposed to the elements. Water, sunscreen, and a good hat are highly recommended.","https://www.nps.gov/common/uploads/tours/E379C2F4-D11A-E031-85725AD1368AE3E4.jpg","Tour"
"band","3. Falls Trail Tour","1","Explore the unique geology, flora, and fauna of Bandelier as you walk 1.5 miles (one way) to an overlook where you can see Upper Falls, Frijoles Creek, and the Rio Grande.","https://www.nps.gov/common/uploads/tours/FADEDB0A-91E1-C71C-DE60061C2FE601BC.jpg","Tour"
"band","4. Tyuonyi Overlook Trail With Descriptions","1","The Tyuonyi Overlook Trail starts near Juniper Family Campground and travels to the rim of Frijoles Canyon, providing outstanding views. There is no access to Frijoles Canyon from this trail, which is 2.2 miles round trip with minimal elevation change. Water, sunscreen, and a hat are recommended during all seasons.","https://www.nps.gov/common/uploads/tours/7BC63A03-965E-F80C-354F9DE9EE0001E9.jpg","Tour"
"band","5. Civilian Conservation Corps District Self Guided Tour","1","One of Bandelier's unique features is the evidence of the many labors of the Civilian Conservation Corps (CCC) which had a camp and worked in Bandelier in the 1930's. This self-guided tour will take you around this historic district and describe some of those unique CCC features.","https://www.nps.gov/common/uploads/tours/8E45A260-F903-87B9-CBAA61CD98EDFEC5.jpg","Tour"
"band","Hike the Tsankawi Loop Trail","1-3 Hours","Learn everything you need to know about hiking the Tsankawi Loop Trail.","https://www.nps.gov/common/uploads/cropped_image/5CBF1257-0753-11AC-65C51DCE0C5BADA2.jpeg","Thing To Do"
"band","Hike the Upper Falls Trail","","Description of the Falls Trails.","https://www.nps.gov/common/uploads/cropped_image/2D38FDB0-0223-E15C-5DA20CD33A9B7AA7.jpeg","Thing To Do"
"bawa","Collect all the National Capital Parks - East Passport Stamps","5-10 Minutes","Start your stamp collection and celebrate every park you visit! Explore historic sites and scenic parks managed by National Capital Parks - East and collect a unique stamp at each one.","https://www.nps.gov/common/uploads/cropped_image/08672F5E-F2EA-FB1F-D554059B400A0EDD.jpg","Thing To Do"
"bawa","Junior Ranger Programs at National Capital Parks - East","30-90 Minutes","Become a Junior Ranger at parks across National Capital Parks – East! Explore, complete a booklet, and earn badges and certificates along the way!","https://www.nps.gov/common/uploads/cropped_image/DC76130F-EB19-5594-520EFD2DE76D1D8E.jpg","Thing To Do"
"bela","Passport Stamps at Bering Land Bridge","","Stamp your park passport at the Bering Land Bridge Heritage Center!","https://www.nps.gov/common/uploads/cropped_image/8B68DFBA-0FCE-0841-F5972DD1DE2F61C4.jpg","Thing To Do"
"beol","Guided Tours of Bent's Old Fort","45-55 Minutes","Take a tour with a Park Ranger to learn more about Bent's Old Fort. Tours are limited to fifteen participants and will explore the historic use of the site and the reconstruction of the fort in the 1970s. ","https://www.nps.gov/common/uploads/cropped_image/7FA92C83-991A-6C8D-737355E78CACD543.jpg","Thing To Do"
"beol","Plaza Access in the Fort","10-30 Minutes","The public is invited inside the reconstruction of Bent’s Old Fort, entering through the zaguan gate and into the plaza. Park Rangers will be present to explain the features of the fort and its 20th century reconstruction. Entry into the reconstructed fort is limited to the central plaza, except on guided tours. For your safety, respect all closures and restrictions. Guided tours provide access into additional areas.","https://www.nps.gov/common/uploads/cropped_image/D4FF7710-02FC-E6C3-E898173FF3BD1E97.jpg","Thing To Do"
"beol","Western National Parks Store at Bent's Old Fort","","The park store is operated by Western National Parks, an official non-profit partner of the National Park Service dedicated to supporting the educational mission of Bent's Old Fort National Historic Site. The park store has a wide range of books, maps, travel guides, media, educational games, posters, and other items available for retail sale.","https://www.nps.gov/common/uploads/cropped_image/66B9866B-FC24-BB98-5913884BA0C431D9.jpg","Thing To Do"
"bibe","Backpacking Big Bend","","Big Bend National Park is a backpacker's paradise. For those who come prepared, there are hundreds of miles of trails, and vast expanses to explore.","https://www.nps.gov/common/uploads/cropped_image/7CDCB8F0-F8E7-D105-2B42CAA35FBA1176.jpg","Thing To Do"
"bibe","Driving Tour from Castolon to Santa Elena Canyon","2","The Castolon Historic District represents the largest and most complete example of human history in Big Bend, from Paleo-Indians to pioneers, to the establishment of the national park. Castolon’s history includes famed tales of bandits, soldiers, farmers, and ranchers, in a place where the cultures of Mexico and the United States meet. This tour will help you explore Castolon’s past through an eight-mile (one-way) driving tour from Castolon to Santa Elena Canyon.","https://www.nps.gov/common/uploads/tours/21FABFF3-D2EB-F081-7230D52148F3EB21.jpg","Tour"
"bibe","Driving Tour from Persimmon Gap to Panther Junction","45","Welcome to Big Bend National Park! This driving tour covers the next 26 miles between Persimmon Gap and the Panther Junction Visitor Center. Begin this self-guided tour at the Persimmon Gap Visitor Center and follow along with the corresponding mile markers as you make your way south. Please remember that the park speed limit is 45 mph. The lower speed limit gives you a chance to enjoy the scenery, and also gives the wildlife a chance to get off of the road.","https://www.nps.gov/common/uploads/tours/6A709B97-BA66-7194-37E3E249D55EF7D1.jpg","Tour"
"bibe","Driving Tour of Dagger Flat Road","2","This is a 14-mile roundtrip drive on an improved dirt road. Nineteen numbered signposts along the drive identify plants of the Chihuahuan Desert and reveal interesting facts about each one. At the road's end you will find the unique forest of the Giant Dagger Yuccas. The road has some sandy and rocky areas that may present challenges, especially after a rain, so a high clearance vehicle is recommended. Please treat the desert gently; driving off the road is destructive and prohibited by law.","https://www.nps.gov/common/uploads/tours/1C904779-900C-A9EB-1E4E44E4420C1410.jpg","Tour"
"bibe","Driving Tour of Ross Maxwell Scenic Drive","2","Ross Maxwell Scenic Drive highlights the geologic splendor of Big Bend by offering 30 miles of overlooks, informative exhibits, and trailheads. Highlights include Sotol Vista, Mule Ears Overlook, and Santa Elena Canyon. In addition, exhibits and trails at locations such as Sam Nail Ranch, Homer Wilson Ranch, and Castolon provide insight into the lives of Big Bend's early pioneers. This drive begins at the turnoff located 13 miles east of Maverick Entrance Station, or 13 miles west of Panther Junction.","https://www.nps.gov/common/uploads/tours/14A07252-D155-F76F-FC173B4D4FA716B2.jpg","Tour"
